sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,windspeed,winddirec,datacreationdate,unit,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
屏東(枋山),屏東縣,58,臭氧八小時,普通,0.1,0.15,57.3,57.2,24,10,2.2,2.1,0,5.7,80,2024-06-05 08:00,,0.1,8.8,23,0,120.651472,22.260899,313
大甲（日南國小）,臺中市,35,,良好,0.5,0.43,21.3,26.2,5,7,9.4,12.1,2.7,0.9,60,2024-06-05 08:00,,0.3,10.9,15,0,120.65525382,24.39017512,312
新北(樹林),新北市,62,細懸浮微粒,普通,0.7,0.69,6.2,15.6,28,22,32.7,50,17.3,0,136,2024-06-05 08:00,,0.3,19.9,30,0,121.38352778,24.94902778,311
屏東（琉球）,屏東縣,31,,良好,2.9,0.24,33.9,33.2,9,9,8.1,9.2,1,1.3,349,2024-06-05 08:00,,0.2,8.4,10,1,120.37722,22.35222,204
臺南（麻豆）,臺南市,28,,良好,0.3,0.3,25.9,27.4,20,9,10.2,12.1,1.8,0.2,25,2024-06-05 08:00,,0.2,8.6,18,0,120.24583056,23.17904722,203
高雄（湖內）,高雄市,19,,良好,0.8,0.26,15.2,20.2,17,3,11.5,14.5,3,0.3,342,2024-06-05 08:00,,0.2,5.3,11,1,120.24535,22.87985556,202
彰化（員林）,彰化縣,40,,良好,2.8,0.46,18.2,26.3,24,15,12.9,17.5,4.6,0.6,336,2024-06-05 08:00,,0.2,12.2,21,1,120.56373,23.96117,201
大城,彰化縣,49,,良好,1.3,0.17,39.1,30.3,35,13,5.7,7.3,1.5,1.8,55,2024-06-05 08:00,,0.1,15.1,31,1,120.26964167,23.85493056,85
富貴角,新北市,50,,良好,0.3,0.14,55.9,54.2,27,11,1.8,2,0.1,2.1,122,2024-06-05 08:00,,0.1,12.4,29,0,121.53656894,25.29681695,84
麥寮,雲林縣,51,細懸浮微粒,普通,1.3,0.29,22.2,25.8,31,12,8.3,10.9,2.6,1.2,11,2024-06-05 08:00,,0.2,15.7,28,1,120.251825,23.753506,83
關山,臺東縣,29,,良好,1.3,0.2,32.3,25.4,23,7,5,7.6,2.6,1.3,86,2024-06-05 08:00,,0.1,8.9,25,0,121.161933,23.045083,80
馬公,澎湖縣,49,,良好,1.1,0.2,45,53.2,16,11,5.5,6.5,0.9,2.1,22,2024-06-05 08:00,,0.1,9.3,20,1,119.566158,23.569031,78
金門,金門縣,47,,良好,0.6,0.25,46.8,51.3,9,8,4.9,5.3,0.4,1.2,340,2024-06-05 08:00,,0.2,12.7,13,1,118.312256,24.432133,77
